Anisimov,Anatoly,Petyaovich,42,188.000000,79.000000,abseiling
Shalyapin,Modest,Klimentovich,29,168.000000,58.000000,aikido
Bobkov,Varnava,Yakimovich,34,165.000000,100.000000,airsoft
Yakubovich,Gennady,Lavrentiiovich,42,186.000000,97.000000,airsoft
Balabanov,Fedir,Grigoryovich,27,181.000000,92.000000,aquathlon
Nosov,Foma,Illarionovich,20,182.000000,65.000000,aquathlon
Ulyanov,Igor,Yaromirovich,25,162.000000,82.000000,aquathlon
Kazantsev,Taras,Vanyaovich,28,158.000000,62.000000,archery
Koltsov,Saveliy,Pankratiyovich,42,193.000000,101.000000,archery
Nekrasov,Daniil,Afanasovich,39,188.000000,98.000000,archery
Sysoyev,David,Ippolitovich,20,180.000000,86.000000,archery
Alexeyev,Ippolit,Vadimovich,18,152.000000,83.000000,artistic gymnastics
Isayev,Sergei,Alexanderovich,24,193.000000,97.000000,artistic gymnastics
Kalashnik,Valeriy,Stasovich,30,192.000000,77.000000,badminton
Putin,Kuzma,Vladovich,29,191.000000,65.000000,badminton
Glazkov,Kazimir,Zakharovich,37,158.000000,79.000000,ballooning
Kvasov,Pyotr/Peter,Spartakovich,36,183.000000,82.000000,ballooning
Vavilov,Isai,Mefodiyovich,34,187.000000,60.000000,ballooning
Artyomov,Lavrentii,Yuliovich,42,175.000000,85.000000,BASE jumping
Denisov,Koldan,Fomaovich,19,161.000000,70.000000,BASE jumping
Yablonsky,Gleb,Yuliyovich,19,192.000000,62.000000,BASE jumping
Krymov,Trofim,Valentinovich,30,192.000000,74.000000,basketball
Zarubin,Eduard,Gedeonovich,30,191.000000,81.000000,basketball
Belinsky,Maxim,Stefanovich,26,173.000000,80.000000,baton twirling
Loginovsky,Alexander,Sergeiovich,37,157.000000,71.000000,baton twirling
Uspensky,Aleks,Fomaovich,19,188.000000,88.000000,baton twirling
Artyomov,Vitaliy,Ilyaovich,25,166.000000,73.000000,biathlon
Makarov,Stanislav,Kostyaovich,40,156.000000,92.000000,biathlon
Kapitsa,Ipatiy,Isaiovich,35,174.000000,74.000000,bodyboarding
Sorokin,Mikhail,Valeriyovich,28,190.000000,96.000000,bodybuilding
Istomin,Rodya,Ludmilovich,39,186.000000,72.000000,capoeira
Kapitsa,Sergei,Trofimovich,24,164.000000,98.000000,climbing
Zarubin,Yaroslav,Maximovich,42,162.000000,85.000000,cricket
Polivanov,Iakov,Kolyaovich,37,176.000000,94.000000,cross-country equestrianism
Aksyonov,Isai,Ioannovich,20,156.000000,96.000000,cross-country running
Kotov,Yermolai,Albertovich,36,159.000000,67.000000,cross-country running
Tereshchenko,Venedikt,Kazimirovich,36,152.000000,99.000000,cross-country running
Kryukov,Albert,Vanjaovich,24,169.000000,72.000000,CrossFit
Preobrazhensky,Yegor,Valeriyovich,33,167.000000,95.000000,CrossFit
Voloshin,Vitya,Daniilovich,20,164.000000,88.000000,CrossFit
Yevseyev,Melor,Olegovich,39,162.000000,83.000000,curling
Sakharov,Marlen,Davidovich,25,183.000000,60.000000,dancing
Malakhov,Igor,Vladimirovich,42,181.000000,90.000000,darts
Vorobyov,Ivan,Semyonovich,36,177.000000,69.000000,darts
Kazakov,Timofei,Yakovovich,23,175.000000,78.000000,decathlon
Stalin,Boleslav,Afanasovich,34,193.000000,82.000000,decathlon
Kutepov,Ilariy,Lazarovich,31,168.000000,94.000000,discus throw
Ponomaryov,Leontiy,Pankratiyovich,34,179.000000,103.000000,discus throw
Severny,Kazimir,Artyomovich,29,193.000000,103.000000,dodgeball
Zaytsev,Makariy,Leonidovich,20,183.000000,93.000000,dodgeball
Bazhenov,Erik,Mikhailovich,30,161.000000,94.000000,equestrianism
Bazhenov,Leonid,Zakharovich,37,194.000000,73.000000,equestrianism
Severny,Artur,Patyaovich,25,180.000000,93.000000,fencing
Syomin,Valentin,Boleslavovich,25,154.000000,82.000000,fencing
Yablonsky,Timofei,Nazarovich,28,187.000000,90.000000,figure skating
Alexandrov,Varfolomei,Arsenyovich,18,158.000000,80.000000,foosball
Kalashnik,Modest,Isaiovich,23,154.000000,78.000000,football
Dubinin,Sergei,Iosifovich,25,173.000000,68.000000,formula racing
Gagarin,Grigory,Vitaliyovich,36,194.000000,56.000000,formula racing
Lukin,Iosif,Alexanderovich,21,191.000000,93.000000,formula racing
Ustinov,Vanya,Vitaliyovich,42,165.000000,102.000000,formula racing
Putin,Yegor,Nestorovich,41,151.000000,73.000000,freediving
Sergeyev,Kazimir,Kostyaovich,28,184.000000,85.000000,freediving
Abdulov,Samuil,Afonaseiovich,19,182.000000,68.000000,gliding
Garin,Ilariy,Zakharovich,21,151.000000,102.000000,gliding
Kostin,Patya,Sergeiovich,27,193.000000,61.000000,golf
Kovalevsky,Denis,Ilariyovich,39,183.000000,87.000000,golf
Polivanov,Anatoly,Rodionovich,30,174.000000,57.000000,gymkhana
Koshkin,Vitaly,Stanislavovich,39,154.000000,57.000000,heptathlon
Vorobyov,Foma,Patyaovich,41,171.000000,91.000000,heptathlon
Markov,Artyom,Makarovich,39,173.000000,92.000000,hockey
Petrov,Ivan,Yevgeniyovich,26,163.000000,85.000000,hockey
Sharapov,Foma,Tarasovich,33,186.000000,102.000000,hockey
Abdulov,Mikhail,Koldanovich,30,181.000000,65.000000,horse racing
Kalashnik,Bogatyr,Titovich,20,171.000000,93.000000,horse racing
Kuznetsov,Konstantin,Pashaovich,25,181.000000,100.000000,horse racing
Lomonosov,Varfolomei,Leontiyovich,25,160.000000,78.000000,horse racing
Voronov,Lavrentii,Vyacheslavovich,27,178.000000,99.000000,horse racing
Bychkov,Yaromir,Robertovich,26,153.000000,60.000000,horseball
Bobkov,Fedir,Semyonovich,18,194.000000,72.000000,hurling
Lapidus,Roman,Maratovich,28,173.000000,58.000000,hurling
Tsulukidze,Sergei,Sergeiovich,40,160.000000,95.000000,hurling
Zaytsev,Yaromir,Yuliyovich,29,168.000000,93.000000,hurling
Kirillov,Ludmil,Vitalyovich,25,160.000000,70.000000,ice hockey
Lapidus,Mitrofan,Valeriyovich,42,181.000000,94.000000,ice hockey
Komarov,Kuzma,Vikentiyovich,41,187.000000,81.000000,jogging
Abdulov,Gavril,Mefodiyovich,23,159.000000,55.000000,judo
Bogdanov,Kostya,Naumovich,24,176.000000,71.000000,judo
Loginovsky,Akim,Kazimirovich,21,172.000000,93.000000,karate
Vavilov,Georgy,Irineiovich,21,164.000000,58.000000,karate
Lukyanenko,Robert,Garryovich,18,184.000000,70.000000,kendo
Maksimov,Tit,Vikentiyovich,24,158.000000,100.000000,kendo
Sedov,Rodion,Vikentiyovich,23,185.000000,94.000000,kendo
Bychkov,Rodya,Igorovich,32,183.000000,73.000000,kickball
Glazkov,Maksim,Kolyaovich,41,156.000000,55.000000,kickboxing
Ukhtomsky,Marlen,Sashaovich,41,183.000000,89.000000,kiteboarding
Tarasov,Aleks,Vasilyovich,25,150.000000,71.000000,kitesurfing
Bobrov,Sasha,Evgenyovich,41,187.000000,103.000000,lacrosse
